"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length"
"FF","2024-09-27","91.5","1.98","5.96","Suárez, Ranger",683083,624133,,"called_strike",,,,,11,"Nasim Nuñez called out on strikes.","R","R","L","WSH","PHI","S",,,0,0,2024,"0.24","0.79","-0.89","3.05",545121,,696285,2,1,"Bot",,,,,592663,,,-7.776978218400094,-133.16397063530823,-3.219138149399211,4.347996453335356,25.443766376752155,-22.261671716763193,"3.37","1.55",,,,"92",1884,"6.3",744797,624133,592663,547180,681082,664761,607208,669720,669016,592206,"54.16",,,,,,,,13,1,"4-Seam Fastball",4,0,4,0,0,4,4,0,"Standard","Standard",139,"0","-0.078",,
"CU","2024-09-27","73.8","1.63","5.92","Suárez, Ranger",696285,624133,"single","hit_into_play",,,,,14,"Jacob Young singles on a ground ball to third baseman Alec Bohm.   Luis García Jr.  scores.    Ildemaro Vargas to 3rd.","R","R","L","WSH","PHI","X",5,"ground_ball",2,2,2024,"-0.69","-1.08","0.24","1.11",671277,545121,,2,1,"Bot",106.08,176.33,,,592663,,,-1.6281325365379802,-107.50868151215793,-0.5953474452777837,-5.038398162414208,19.447348348284166,-40.667704526158566,"3.35","1.53",1,"65.9",-38,"74.1",2083,"6.5",744797,624133,592663,547180,681082,664761,607208,669720,669016,592206,"53.99",0.106,0.124,"0.9",1,1,0,2,12,7,"Curveball",3,0,3,0,0,4,4,0,"Standard","Standard",311,"0.054","1.547","63.6704","7.45959"
"SI","2024-09-27","90.1","1.73","6.05","Suárez, Ranger",696285,624133,,"ball",,,,,11,"Jacob Young singles on a ground ball to third baseman Alec Bohm.   Luis García Jr.  scores.    Ildemaro Vargas to 3rd.","R","R","L","WSH","PHI","B",,,1,2,2024,"0.99","0.49","-0.96","3.17",671277,545121,,2,1,"Bot",,,,,592663,,,-8.781163280352315,-130.98432785448563,-2.281899414386665,13.125109684358373,24.867588496240767,-26.189858848404036,"3.36","1.56",,,,"90.6",1948,"6.4",744797,624133,592663,547180,681082,664761,607208,669720,669016,592206,"54.06",,,,,,,,12,6,"Sinker",3,0,3,0,0,3,3,0,"Standard","Standard",154,"0","0.054",,
"FF","2024-09-27","90.5","2.15","5.84","Suárez, Ranger",696285,624133,,"ball",,,,,11,"Jacob Young singles on a ground ball to third baseman Alec Bohm.   Luis García Jr.  scores.    Ildemaro Vargas to 3rd.","R","R","L","WSH","PHI","B",,,0,2,2024,"0.37","0.96","-0.47","4.42",,671277,545121,2,1,"Bot",,,,,592663,,,-7.310375282217177,-131.73772033020452,0.25936660441374904,5.639354219214574,23.71743037404627,-21.07274595909571,"3.33","1.54",,,,"91",1911,"6.2",744797,624133,592663,547180,681082,664761,607208,669720,669016,592206,"54.26",,,,,,,,12,5,"4-Seam Fastball",3,0,3,0,0,3,3,0,"Standard","Standard",132,"0.007","0.004",,
"CU","2024-09-27","73.5","1.59","5.97","Suárez, Ranger",696285,624133,,"foul",,,,,8,"Jacob Young singles on a ground ball to third baseman Alec Bohm.   Luis García Jr.  scores.    Ildemaro Vargas to 3rd.","R","R","L","WSH","PHI","S",,,0,2,2024,"-0.95","-0.93","-0.19","1.47",,671277,545121,2,1,"Bot",,,,,592663,,,-1.9715915530851136,-106.99565229645283,-0.15987833323466738,-6.9476912855667905,18.982646959458247,-39.51256348603124,"3.35","1.53",2,"46.5",-47,"73.7",2088,"6.5",744797,624133,592663,547180,681082,664761,607208,669720,669016,592206,"54.02",,,,,,,,12,4,"Curveball",3,0,3,0,0,3,3,0,"Standard","Standard",315,"0","0","58.73134","8.01785"
"SI","2024-09-27","89.4","1.66","5.95","Suárez, Ranger",696285,624133,,"foul",,,,,4,"Jacob Young singles on a ground ball to third baseman Alec Bohm.   Luis García Jr.  scores.    Ildemaro Vargas to 3rd.","R","R","L","WSH","PHI","S",,,0,2,2024,"1.05","0.78","-0.67","2.63",,671277,545121,2,1,"Bot",,,,,592663,,,-7.966199244281195,-130.11606837695436,-3.947809909529152,13.433436189557002,23.002132867800487,-22.6211856311861,"3.35","1.53",172,"62.8",50,"90.4",1851,"6.5",744797,624133,592663,547180,681082,664761,607208,669720,669016,592206,"53.96",,,,,,,,12,3,"Sinker",3,0,3,0,0,3,3,0,"Standard","Standard",144,"0","0","63.7688","5.73589"
"FF","2024-09-27","90.5","1.89","5.87","Suárez, Ranger",696285,624133,,"foul",,,,,1,"Jacob Young singles on a ground ball to third baseman Alec Bohm.   Luis García Jr.  scores.    Ildemaro Vargas to 3rd.","R","R","L","WSH","PHI","S",,,0,1,2024,"0.49","0.9","-0.45","2.89",,671277,545121,2,1,"Bot",,,,,592663,,,-6.8838749238925825,-131.78609047027618,-3.5602866673737834,7.018620666076735,22.71933835866473,-21.022427304495373,"3.35","1.53",268,"81",25,"91.3",1789,"6.3",744797,624133,592663,547180,681082,664761,607208,669720,669016,592206,"54.16",,,,,,,,12,2,"4-Seam Fastball",3,0,3,0,0,3,3,0,"Standard","Standard",133,"0","-0.073","61.7416","5.72277"
"SI","2024-09-27","89.6","1.91","5.86","Suárez, Ranger",696285,624133,,"foul_bunt",,,,,3,"Jacob Young singles on a ground ball to third baseman Alec Bohm.   Luis García Jr.  scores.    Ildemaro Vargas to 3rd.","R","R","L","WSH","PHI","S",,,0,0,2024,"1.19","0.43","0.45","2.88",,671277,545121,2,1,"Bot",,,,,592663,,,-6.134607368272376,-130.4864947979878,-2.3625161395423353,14.908518438103648,24.43028376464013,-26.992372270150717,"3.35","1.53",2,,,"90.3",1880,"6.4",744797,624133,592663,547180,681082,664761,607208,669720,669016,592206,"54.08",,,,,,,,12,1,"Sinker",3,0,3,0,0,3,3,0,"Standard","Standard",140,"0","-0.077","6.82073","1.16588"
"FF","2024-09-27","90.9","1.91","5.79","Suárez, Ranger",545121,624133,"walk","ball",,,,,14,"Ildemaro Vargas walks.   Luis García Jr.  to 2nd.","R","R","L","WSH","PHI","B",,,3,2,2024,"0.54","1.12","0.82","1.23",,,671277,2,1,"Bot",,,,,592663,,,-3.888775035241346,-132.2270701971369,-7.974719383785824,7.179769637905678,26.407082726631124,-17.506562686702043,"3.49","1.67",,,,"91.2",1922,"6.4",744797,624133,592663,547180,681082,664761,607208,669720,669016,592206,"54.13",,0.689131,"0.7",1,0,0,,11,6,"4-Seam Fastball",3,0,3,0,0,3,3,0,"Standard","Standard",134,"0.011","0.185",,
"SI","2024-09-27","91","1.83","5.82","Suárez, Ranger",545121,624133,,"foul",,,,,8,"Ildemaro Vargas walks.   Luis García Jr.  to 2nd.","R","R","L","WSH","PHI","S",,,3,1,2024,"1.27","0.45","-0.07","1.87",,,671277,2,1,"Bot",,,,,592663,,,-7.496358342508473,-132.32937456819695,-4.989303984401923,16.54745102862758,26.845846354573595,-26.06130265386198,"3.32","1.5",,,,"91.4",1746,"6.4",744797,624133,592663,547180,681082,664761,607208,669720,669016,592206,"54.07",,,,,,,,11,5,"Sinker",3,0,3,0,0,3,3,0,"Standard","Standard",146,"0","-0.055","75.62567","7.40097"
